book_id,series_id,book_number
B1,S1,1
B2,S1,2
B3,S1,3
B4,S1,4
B5,S1,5
B6,S1,6
B7,S1,7
B8,S2,1
B9,S2,2
B10,S2,3
B11,S2,4
B12,S2,5
B13,S3,1
B14,S3,2
B15,S3,3
B16,S4,1
B17,S4,2
B18,S4,3
B19,S4,4
B20,S4,5
B21,S7,1
B22,S7,2
B23,S7,3
B24,S14,1
B25,S6,9
B26,S15,2
B27,S6,3
B28,S6,2
B29,S6,3
B30,S5,4
B31,S5,5
B32,S5,6
B33,S16,7
B34,S17,8
B35,S9,4
B36,S9,
B37,S9,
B38,S9,
B39,S9,
B40,S9,
B42,S10,1
B41,S9,
B44,S10,2
B43,S9,
B45,S11,1
B46,S12,1
B47,S9,
B48,S9,
B49,S9,
B50,S9,
B51,S8,3
B52,S8,4
B53,S8,5
B54,S8,6
B55,S8,7
B56,S9,
B57,S13,1
B58,S13,2
B59,S9,
B61,S9,
B62,S9,
B74,S9,